2020년 04월 07일,확진자,백만 명당 확진자 수,완치자,사망자
몬트세랫,6,—,0,0
보츠와나,6,2.57,0,1
생바르텔레미,6,—,1,0
시에라리온,6,0.76,0,0
말라위,5,0.26,0,0
부탄,5,6.74,2,0
감비아,4,1.7,2,1
상투메 프린시페,4,19.82,0,0
부룬디,3,0.27,0,0
앵귈라,3,201.76,0,0
영국령 버진아일랜드,3,99.9,0,0
파푸아뉴기니,2,0.22,0,0
포클랜드 제도(말비나스 군도),2,—,0,0
남수단,1,0.08,0,0
동티모르,1,0.72,0,0
생피에르 미클롱,1,—,0,0
